SET
Pager usage is off.
CREATE VIEW
--- MANIFEST ROW COUNT ---
 function_rows 
---------------
            78

--- AGGREGATE MANIFEST HASH (md5 over sorted per-row text) ---
      manifest_aggregate_md5      
----------------------------------
 52696023ca621b4a8842f22febd58851

--- MANIFEST ROWS (deterministic order) ---
Output format is csv.
schema_name,function_name,identity_args,owner,language,prokind,security_definer,volatility,is_strict,parallel,leakproof,returns_set,proconfig_sorted,acl_expanded_sorted,nargs,nargdefaults,full_args,result_type,argmodes,allargtypes,argtypes,rettype,prosrc_md5,prosrc_len,probin_md5,functiondef_md5
public,award_points,"_user_id uuid, _event_id uuid, _amount integer, _type public.point_tx_type, _reason text, _song_request_id uuid, _created_by uuid",postgres,plpgsql,f,t,v,f,u,f,f,search_path=public,"postgres>postgres:EXECUTE:false,postgres>service_role:EXECUTE:false",7,3,"_user_id uuid, _event_id uuid, _amount integer, _type public.point_tx_type, _reason text DEFAULT ''::text, _song_request_id uuid DEFAULT NULL::uuid, _created_by uuid DEFAULT NULL::uuid",void,,,2950 2950 23 17713 25 2950 2950,void,a406161424194f28f4133e34fcd9982a,516,d41d8cd98f00b204e9800998ecf8427e,95c394fea9b89a80c65c9047ee71e797
public,boost_request,"_song_request_id uuid, _amount integer",postgres,plpgsql,f,t,v,f,u,f,f,search_path=public,"postgres>authenticated:EXECUTE:false,postgres>postgres:EXECUTE:false,postgres>service_role:EXECUTE:false",2,0,"_song_request_id uuid, _amount integer",public.song_requests,,,2950 23,public.song_requests,8a79dd1d55e471aac0c0be9221126548,1366,d41d8cd98f00b204e9800998ecf8427e,5f97eeec3587749308e8b9b23a7723b4
public,check_boost_purchase_cap,"_user_id uuid, _event_id uuid, _amount_cents integer",postgres,plpgsql,f,t,s,f,u,f,f,search_path=public,"postgres>PUBLIC:EXECUTE:false,postgres>anon:EXECUTE:false,postgres>authenticated:EXECUTE:false,postgres>postgres:EXECUTE:false,postgres>service_role:EXECUTE:false",3,0,"_user_id uuid, _event_id uuid, _amount_cents integer",void,,,2950 2950 23,void,90cf62885ff9c54635046511ff1af54e,1393,d41d8cd98f00b204e9800998ecf8427e,77f835cbc8111c13336c3fd47911b68f
public,check_tip_cap,"_user_id uuid, _event_id uuid, _amount_cents integer",postgres,plpgsql,f,t,v,f,u,f,f,search_path=public,"postgres>PUBLIC:EXECUTE:false,postgres>anon:EXECUTE:false,postgres>authenticated:EXECUTE:false,postgres>postgres:EXECUTE:false,postgres>service_role:EXECUTE:false",3,0,"_user_id uuid, _event_id uuid, _amount_cents integer",void,,,2950 2950 23,void,30758ac8373651bc538b535d62bf5084,1678,d41d8cd98f00b204e9800998ecf8427e,d3e324f1c6e3e92bb24be476a9fe0e68
public,claim_dj_role,,postgres,plpgsql,f,t,v,f,u,f,f,search_path=public,"postgres>authenticated:EXECUTE:false,postgres>postgres:EXECUTE:false,postgres>service_role:EXECUTE:false",0,0,,void,,,,void,bdd71753070ba5a8c65ae924cfc6a3aa,942,d41d8cd98f00b204e9800998ecf8427e,56e2ea4028cd4283c360f76be4348cbe
public,create_event,"_name text, _venue text, _dj_name text, _allow_explicit boolean, _require_approval boolean, _cooldown_seconds integer, _rules_text text",postgres,plpgsql,f,t,v,f,u,f,t,"search_path=""""","postgres>authenticated:EXECUTE:false,postgres>postgres:EXECUTE:false,postgres>service_role:EXECUTE:false",7,6,"_name text, _venue text DEFAULT NULL::text, _dj_name text DEFAULT NULL::text, _allow_explicit boolean DEFAULT true, _require_approval boolean DEFAULT false, _cooldown_seconds integer DEFAULT 0, _rules_text text DEFAULT NULL::text","TABLE(id uuid, room_code text, name text, created_at timestamp with time zone)","{i,i,i,i,i,i,i,t,t,t,t}","{25,25,25,16,16,23,25,2950,25,25,1184}",25 25 25 16 16 23 25,record,e04044829be163f09aba03dff7a3866b,2132,d41d8cd98f00b204e9800998ecf8427e,6c4b1e195caf1b77e6ea4157bf8c1e6a
public,delete_email,"queue_name text, message_id bigint",postgres,plpgsql,f,t,v,f,u,f,f,"search_path=""""","postgres>postgres:EXECUTE:false,postgres>service_role:EXECUTE:false",2,0,"queue_name text, message_id bigint",boolean,,,25 20,boolean,2cd34cff7c6bdf2db1f6935ec51dc8db,110,d41d8cd98f00b204e9800998ecf8427e,bfe58e57523d3a567dd57893d77a6850
public,email_queue_dispatch,,postgres,plpgsql,f,t,v,f,u,f,f,"search_path=""""",postgres>postgres:EXECUTE:false,0,0,,void,,,,void,9f8e4895e38aebe816829972650e4437,1317,d41d8cd98f00b204e9800998ecf8427e,41b90dc1808525666409dc5224a131d4
public,email_queue_wake,,postgres,plpgsql,f,t,v,f,u,f,f,"search_path=""""",postgres>postgres:EXECUTE:false,0,0,,trigger,,,,trigger,a8ea5fd31e7d7386796122a83448e33e,1235,d41d8cd98f00b204e9800998ecf8427e,2d57ead3937081130571afae6e6f2ae2
public,enqueue_email,"queue_name text, payload jsonb",postgres,plpgsql,f,t,v,f,u,f,f,"search_path=""""","postgres>postgres:EXECUTE:false,postgres>service_role:EXECUTE:false",2,0,"queue_name text, payload jsonb",bigint,,,25 3802,bigint,4483879669e0c80ecb876151dee937d2,165,d41d8cd98f00b204e9800998ecf8427e,53705ac45a1c0df25a115e6c54bdda23
